-299.194,5.493,-8.392,11.063
-270.264,4.395,-7.629,10.300
-228.149,4.028,-6.866,9.155
-187.500,4.028,-4.959,8.774
-139.160,3.662,-3.052,6.485
-92.285,3.296,-763,3.815
-38.086,2.197,381,2.289
17.578,1.465,1.907,763
75.073,1.099,4.959,-763
131.104,1.099,6.104,-3.052
179.443,732,8.011,-4.578
223.022,366,9.537,-5.722
260.376,366,11.444,-8.011
288.940,732,12.970,-9.537
312.378,0,13.351,-10.681
324.097,-366,14.114,-11.444
327.759,-366,14.114,-11.826
329.224,-732,13.733,-11.063
329.224,-732,12.970,-10.681
323.364,-366,13.351,-10.681
295.898,0,12.207,-9.918
263.672,366,11.444,-8.392
223.022,732,9.918,-6.485
176.880,1.465,8.011,-4.196
128.540,1.831,6.104,-2.289
79.102,3.296,4.196,-1.144
22.705,2.197,2.289,763
-35.522,3.296,381,2.670
-89.355,4.028,-1.526,4.196
-141.724,4.395,-3.052,6.104
-186.035,4.395,-4.578,8.011
-228.516,4.395,-6.485,9.537
-262.939,4.395,-7.248,10.300
-291.504,4.028,-8.774,11.063
-312.012,4.028,-9.537,11.444
-322.632,4.028,-9.918,12.207
-326.294,4.028,-8.774,11.444
-311.279,4.761,-8.392,10.681
-285.278,4.761,-8.392,10.681
-248.657,4.395,-7.629,9.537
-206.177,4.028,-5.722,9.155
-159.302,3.662,-3.815,7.248
-116.821,3.296,-1.907,5.341
-67.749,2.563,-381,3.433
-13.550,1.831,1.526,1.907
46.143,1.465,3.815,-381
100.342,1.099,5.722,-2.289
152.710,1.099,6.866,-3.815
200.317,732,8.774,-5.341
242.432,366,10.681,-7.248
276.855,1.831,12.207,-8.774
301.758,366,13.351,-10.681
319.336,0,13.733,-11.063
325.928,0,14.114,-11.826
329.224,-366,14.114,-11.826
329.590,-366,13.351,-11.063
328.491,-732,12.970,-10.300
309.082,0,12.970,-10.300
281.982,366,11.826,-9.537
242.432,366,11.063,-7.629
201.416,1.099,9.537,-5.341
153.809,1.465,6.866,-3.433
104.736,1.831,4.959,-2.289
52.368,2.930,3.815,-381
-3.296,4.028,1.907,1.907
-59.326,3.296,-381,3.433
-113.525,4.028,-2.289,5.722
-163.696,4.028,-3.815,7.248
-208.740,4.028,-5.722,8.392
-246.094,4.395,-6.866,9.918
-277.954,4.028,-8.392,10.681
-303.223,4.028,-9.155,11.444
-318.970,4.028,-9.918,11.826
-324.097,4.028,-9.155,11.826
-325.195,4.395,-8.392,10.681
-299.194,5.493,-8.392,11.063
-271.362,4.395,-7.629,10.300
-229.614,4.028,-6.866,9.155
-185.303,4.028,-4.959,8.392
-138.062,3.662,-2.670,6.485
